Location,Region,Year,Month Number,Month Name,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,11,15:30,154,66.2,93.75,91,20,,98,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
Mumbai,West,2023,2,February,14,11:30,160,78.8,169,25,0,,26,d_Unhealthy
